transaction_month,state,category,age_bucket,amount_bucket,total_transactions,total_revenue,total_profit,avg_transaction_value,unique_customers
2014-02,Oregon,Office Supplies,18-24,Low (<50),2,55.67,18.79,27.84,1
2014-02,Texas,Furniture,35-44,Low (<50),1,25.16,-11.32,25.16,1
2014-02,Texas,Office Supplies,35-44,Low (<50),2,11.36,-4.52,5.68,1
2014-02,Texas,Office Supplies,45-59,Low (<50),4,37.84,-12.12,9.46,3
2014-02,Virginia,Furniture,60+,High (500-1500),1,1256.22,75.37,1256.22,1
2014-02,Virginia,Office Supplies,45-59,Low (<50),1,15.0,7.2,15.0,1
2014-02,Virginia,Office Supplies,60+,Low (<50),1,17.46,8.21,17.46,1
2014-02,Virginia,Technology,45-59,Medium (50-500),2,306.56,84.05,153.28,1
2014-02,Virginia,Technology,60+,Medium (50-500),1,234.45,103.16,234.45,1
2014-02,Washington,Office Supplies,25-34,Low (<50),1,21.36,7.21,21.36,1
2014-02,Washington,Office Supplies,25-34,Medium (50-500),2,320.58,27.72,160.29,1
2014-02,Washington,Office Supplies,45-59,Low (<50),1,13.27,4.31,13.27,1
2014-02,Washington,Office Supplies,45-59,Medium (50-500),1,83.84,27.25,83.84,1
2014-02,Washington,Technology,25-34,Medium (50-500),1,239.97,86.39,239.97,1
2014-02,Wisconsin,Technology,60+,Medium (50-500),1,468.9,206.32,468.9,1
2014-03,Arizona,Furniture,60+,Medium (50-500),1,314.35,-35.36,314.35,1
2014-03,Arizona,Office Supplies,60+,Medium (50-500),1,74.35,23.24,74.35,1
2014-03,California,Furniture,18-24,Low (<50),1,40.48,14.57,40.48,1
2014-03,California,Furniture,25-34,High (500-1500),1,626.35,-23.49,626.35,1
2014-03,California,Furniture,35-44,Medium (50-500),1,111.0,14.43,111.0,1
2014-03,California,Furniture,45-59,Medium (50-500),1,205.67,-12.1,205.67,1
2014-03,California,Furniture,60+,High (500-1500),1,1198.33,70.49,1198.33,1
2014-03,California,Office Supplies,18-24,Low (<50),1,7.98,2.07,7.98,1
2014-03,California,Office Supplies,25-34,High (500-1500),1,673.57,252.59,673.57,1
2014-03,California,Office Supplies,25-34,Low (<50),2,31.3,10.27,15.65,1
2014-03,California,Office Supplies,25-34,Medium (50-500),1,52.98,14.83,52.98,1
2014-03,California,Office Supplies,35-44,Low (<50),1,18.75,9.0,18.75,1
2014-03,California,Office Supplies,35-44,Very High (1500+),1,1856.19,334.11,1856.19,1
2014-03,California,Office Supplies,45-59,Medium (50-500),1,330.4,85.9,330.4,1
2014-03,California,Office Supplies,60+,Low (<50),5,60.82,21.55,12.16,2
2014-03,California,Technology,25-34,Low (<50),1,28.78,2.88,28.78,1
2014-03,California,Technology,35-44,High (500-1500),1,1279.97,415.99,1279.97,1
2014-03,California,Technology,35-44,Medium (50-500),1,66.3,8.62,66.3,1
2014-03,California,Technology,45-59,High (500-1500),1,604.75,37.8,604.75,1
2014-03,California,Technology,60+,Low (<50),1,45.48,15.92,45.48,1
2014-03,Colorado,Office Supplies,60+,High (500-1500),1,636.41,-15.91,636.41,1
2014-03,Colorado,Office Supplies,60+,Medium (50-500),1,83.17,9.36,83.17,1
2014-03,Florida,Furniture,18-24,Low (<50),3,70.7,12.02,23.57,2
2014-03,Florida,Furniture,25-34,High (500-1500),1,1125.49,98.48,1125.49,1
2014-03,Florida,Furniture,60+,Low (<50),1,30.77,8.08,30.77,1
2014-03,Florida,Furniture,60+,Medium (50-500),1,122.35,15.29,122.35,1
2014-03,Florida,Office Supplies,18-24,Low (<50),5,121.94,-56.99,24.39,2
2014-03,Florida,Office Supplies,18-24,Medium (50-500),2,274.68,65.66,137.34,1
2014-03,Florida,Office Supplies,25-34,Low (<50),2,16.68,-9.06,8.34,1
2014-03,Florida,Office Supplies,35-44,Low (<50),1,1.87,-1.31,1.87,1
2014-03,Florida,Office Supplies,45-59,Medium (50-500),1,91.06,31.87,91.06,1
2014-03,Florida,Office Supplies,60+,Low (<50),5,73.79,19.96,14.76,3
2014-03,Florida,Technology,18-24,Medium (50-500),2,494.22,81.55,247.11,1
2014-03,Florida,Technology,60+,High (500-1500),1,821.3,-16.43,821.3,1
2014-03,Florida,Technology,60+,Very High (1500+),1,22638.48,-1811.08,22638.48,1
2014-03,Illinois,Furniture,45-59,High (500-1500),1,634.12,-172.12,634.12,1
2014-03,Illinois,Office Supplies,45-59,Low (<50),3,34.05,-5.51,11.35,3
2014-03,Illinois,Technology,45-59,High (500-1500),1,574.91,156.05,574.91,1
2014-03,Illinois,Technology,45-59,Medium (50-500),1,79.98,14.0,79.98,1
2014-03,Indiana,Office Supplies,60+,Low (<50),1,16.28,6.51,16.28,1
2014-03,Iowa,Furniture,60+,High (500-1500),1,1184.72,106.62,1184.72,1
2014-03,Iowa,Office Supplies,60+,Low (<50),1,6.12,2.88,6.12,1
2014-03,Kentucky,Office Supplies,35-44,Low (<50),1,14.94,7.02,14.94,1
2014-03,Kentucky,Office Supplies,35-44,Medium (50-500),1,146.76,38.16,146.76,1
2014-03,Kentucky,Technology,35-44,High (500-1500),1,587.97,164.63,587.97,1
2014-03,Kentucky,Technology,35-44,Low (<50),1,32.96,14.17,32.96,1
2014-03,Michigan,Office Supplies,45-59,Low (<50),1,22.38,10.74,22.38,1
2014-03,Minnesota,Office Supplies,25-34,Medium (50-500),1,129.3,6.46,129.3,1
2014-03,Minnesota,Office Supplies,60+,Low (<50),3,102.74,46.52,34.25,1
2014-03,Minnesota,Office Supplies,60+,Medium (50-500),2,147.18,61.67,73.59,1
2014-03,Mississippi,Office Supplies,25-34,Low (<50),5,103.5,42.81,20.7,1
2014-03,New Mexico,Technology,35-44,Medium (50-500),1,302.38,22.68,302.38,1
2014-03,New York,Furniture,25-34,High (500-1500),2,1685.48,-676.43,842.74,1
2014-03,New York,Furniture,25-34,Very High (1500+),1,1579.75,-447.59,1579.75,1
2014-03,New York,Furniture,60+,Medium (50-500),1,366.79,65.21,366.79,1
2014-03,New York,Office Supplies,18-24,Low (<50),1,10.5,2.94,10.5,1
2014-03,New York,Office Supplies,25-34,Low (<50),4,128.01,50.24,32.0,3
2014-03,New York,Office Supplies,25-34,Medium (50-500),3,312.38,137.42,104.13,2
2014-03,New York,Office Supplies,35-44,Low (<50),3,97.41,43.66,32.47,2
2014-03,New York,Office Supplies,45-59,Low (<50),1,25.32,9.18,25.32,1
2014-03,New York,Office Supplies,45-59,Medium (50-500),1,125.76,40.87,125.76,1
2014-03,New York,Office Supplies,60+,Medium (50-500),1,108.92,49.01,108.92,1
2014-03,New York,Technology,25-34,Medium (50-500),1,479.97,177.59,479.97,1
2014-03,New York,Technology,45-59,Low (<50),1,9.99,4.6,9.99,1
2014-03,New York,Technology,60+,Low (<50),1,5.94,1.6,5.94,1
2014-03,North Carolina,Office Supplies,18-24,Low (<50),1,19.46,3.4,19.46,1
2014-03,North Carolina,Office Supplies,35-44,Low (<50),1,16.27,-3.86,16.27,1
2014-03,North Carolina,Office Supplies,60+,Low (<50),1,7.64,-5.86,7.64,1
2014-03,North Carolina,Office Supplies,60+,Medium (50-500),1,51.46,-39.46,51.46,1
2014-03,North Carolina,Technology,35-44,Medium (50-500),1,471.92,29.5,471.92,1
2014-03,Ohio,Furniture,18-24,Medium (50-500),1,302.45,-199.62,302.45,1
2014-03,Ohio,Furniture,35-44,Low (<50),1,8.32,2.29,8.32,1
2014-03,Ohio,Furniture,60+,Medium (50-500),1,330.59,-143.25,330.59,1
2014-03,Ohio,Office Supplies,18-24,Low (<50),2,59.79,-5.14,29.9,1
2014-03,Ohio,Office Supplies,35-44,Low (<50),1,10.46,1.7,10.46,1
2014-03,Ohio,Office Supplies,45-59,Low (<50),2,13.46,2.79,6.73,1
2014-03,Pennsylvania,Office Supplies,18-24,Low (<50),1,0.85,-0.6,0.85,1
2014-03,Pennsylvania,Office Supplies,35-44,Medium (50-500),1,126.62,41.15,126.62,1
2014-03,Pennsylvania,Office Supplies,45-59,Low (<50),1,3.42,1.07,3.42,1
2014-03,Pennsylvania,Technology,45-59,Medium (50-500),1,151.2,32.13,151.2,1
2014-03,South Carolina,Office Supplies,60+,Medium (50-500),1,354.9,17.74,354.9,1
2014-03,Tennessee,Furniture,18-24,Low (<50),1,32.95,6.59,32.95,1
2014-03,Tennessee,Furniture,18-24,Medium (50-500),1,218.38,-10.92,218.38,1
2014-03,Tennessee,Office Supplies,18-24,Medium (50-500),1,59.2,22.2,59.2,1
2014-03,Texas,Furniture,35-44,Medium (50-500),1,376.51,-43.03,376.51,1
2014-03,Texas,Furniture,45-59,Medium (50-500),3,553.1,-44.05,184.37,2
2014-03,Texas,Furniture,60+,High (500-1500),1,890.84,-152.72,890.84,1
2014-03,Texas,Office Supplies,35-44,Medium (50-500),2,314.12,-451.02,157.06,2
2014-03,Texas,Office Supplies,45-59,Low (<50),1,18.84,-3.53,18.84,1
2014-03,Texas,Office Supplies,45-59,Medium (50-500),2,465.27,90.63,232.64,2
2014-03,Texas,Office Supplies,60+,Low (<50),3,25.18,7.66,8.39,1
2014-03,Texas,Technology,45-59,Medium (50-500),1,251.94,88.18,251.94,1
2014-03,Utah,Office Supplies,60+,Low (<50),2,54.45,16.93,27.22,1
2014-03,Utah,Office Supplies,60+,Medium (50-500),2,143.03,23.4,71.51,1
2014-03,Utah,Technology,60+,Medium (50-500),1,82.8,6.62,82.8,1
2014-03,Virginia,Furniture,25-34,High (500-1500),1,1139.92,284.98,1139.92,1
2014-03,Virginia,Office Supplies,45-59,Low (<50),2,23.72,9.33,11.86,1
2014-03,Virginia,Office Supplies,45-59,Medium (50-500),2,245.91,119.27,122.96,1
2014-03,Virginia,Technology,45-59,Very High (1500+),1,3499.93,909.98,3499.93,1
2014-03,Washington,Furniture,18-24,Medium (50-500),1,457.57,51.48,457.57,1
2014-03,Washington,Furniture,45-59,Low (<50),1,48.71,5.48,48.71,1
2014-03,Washington,Furniture,45-59,Medium (50-500),2,918.27,76.01,459.14,1
2014-03,Washington,Office Supplies,35-44,Low (<50),2,60.24,22.2,30.12,1
2014-03,Washington,Office Supplies,35-44,Medium (50-500),1,107.65,33.64,107.65,1
2014-03,Washington,Office Supplies,45-59,Low (<50),2,38.59,14.16,19.3,2
2014-03,Washington,Office Supplies,45-59,Medium (50-500),2,447.84,4.86,223.92,2
2014-04,Alabama,Furniture,35-44,High (500-1500),1,1215.92,316.14,1215.92,1
2014-04,Alabama,Furniture,45-59,Low (<50),1,8.96,2.78,8.96,1
2014-04,Arizona,Office Supplies,60+,Low (<50),3,71.17,-4.11,23.72,2
2014-04,California,Furniture,18-24,Medium (50-500),1,230.28,23.03,230.28,1
2014-04,California,Furniture,25-34,Medium (50-500),2,408.09,-15.66,204.05,2
2014-04,California,Furniture,45-59,High (500-1500),1,1487.04,148.7,1487.04,1
2014-04,California,Furniture,45-59,Medium (50-500),2,491.01,140.66,245.5,2
2014-04,California,Furniture,60+,Low (<50),1,33.11,12.91,33.11,1
2014-04,California,Furniture,60+,Medium (50-500),3,228.02,69.85,76.01,3
2014-04,California,Office Supplies,18-24,Low (<50),2,34.81,11.29,17.4,2
2014-04,California,Office Supplies,25-34,Low (<50),3,85.9,38.62,28.63,3
2014-04,California,Office Supplies,25-34,Medium (50-500),2,136.52,42.22,68.26,1
2014-04,California,Office Supplies,35-44,Low (<50),4,80.69,32.36,20.17,2
2014-04,California,Office Supplies,45-59,Medium (50-500),2,377.68,109.53,188.84,2
2014-04,California,Office Supplies,60+,Low (<50),7,112.95,44.38,16.14,5
2014-04,California,Office Supplies,60+,Medium (50-500),1,55.48,26.63,55.48,1
2014-04,California,Technology,25-34,High (500-1500),1,1075.09,94.07,1075.09,1
2014-04,California,Technology,25-34,Medium (50-500),3,1138.3,310.33,379.43,3
2014-04,California,Technology,25-34,Very High (1500+),1,1679.96,126.0,1679.96,1
2014-04,California,Technology,60+,Medium (50-500),3,510.26,177.21,170.09,2
2014-04,Delaware,Technology,45-59,Low (<50),1,19.98,5.19,19.98,1
2014-04,Florida,Office Supplies,45-59,Low (<50),2,17.28,5.96,8.64,1
2014-04,Florida,Technology,45-59,Medium (50-500),2,719.92,123.59,359.96,1
2014-04,Georgia,Office Supplies,35-44,Low (<50),1,15.84,7.13,15.84,1
2014-04,Georgia,Office Supplies,35-44,Medium (50-500),1,154.9,40.27,154.9,1
2014-04,Georgia,Office Supplies,45-59,Medium (50-500),1,58.32,27.99,58.32,1
2014-04,Georgia,Technology,35-44,High (500-1500),1,1049.93,293.98,1049.93,1
2014-04,Georgia,Technology,45-59,Medium (50-500),1,200.97,50.24,200.97,1
2014-04,Idaho,Office Supplies,25-34,Low (<50),1,9.58,3.35,9.58,1
2014-04,Illinois,Office Supplies,18-24,Low (<50),1,49.63,3.72,49.63,1
2014-04,Illinois,Office Supplies,18-24,Medium (50-500),1,52.1,3.91,52.1,1
2014-04,Indiana,Office Supplies,60+,Low (<50),1,32.4,15.55,32.4,1
2014-04,Kentucky,Office Supplies,25-34,High (500-1500),1,826.0,214.76,826.0,1
2014-04,Kentucky,Office Supplies,25-34,Medium (50-500),1,174.95,45.49,174.95,1
2014-04,Kentucky,Office Supplies,45-59,High (500-1500),1,828.84,0.0,828.84,1
2014-04,Kentucky,Office Supplies,45-59,Medium (50-500),1,115.36,56.53,115.36,1
2014-04,Louisiana,Furniture,45-59,Medium (50-500),1,51.96,12.99,51.96,1
2014-04,Louisiana,Office Supplies,45-59,Low (<50),3,50.34,24.29,16.78,2
2014-04,Louisiana,Office Supplies,45-59,Medium (50-500),1,232.55,9.3,232.55,1
2014-04,Louisiana,Technology,45-59,Medium (50-500),1,99.98,42.99,99.98,1
2014-04,Maryland,Office Supplies,35-44,Low (<50),3,29.35,12.39,9.78,1
2014-04,Maryland,Office Supplies,35-44,Medium (50-500),1,497.61,129.38,497.61,1
2014-04,Maryland,Office Supplies,45-59,Low (<50),1,7.83,3.6,7.83,1
2014-04,Massachusetts,Office Supplies,35-44,Low (<50),1,6.24,3.06,6.24,1
2014-04,Massachusetts,Office Supplies,35-44,Medium (50-500),1,66.96,2.68,66.96,1
2014-04,Michigan,Furniture,18-24,Low (<50),1,5.47,2.35,5.47,1
2014-04,Michigan,Office Supplies,18-24,Medium (50-500),1,79.36,23.81,79.36,1
2014-04,Michigan,Office Supplies,45-59,High (500-1500),1,689.82,20.69,689.82,1
2014-04,Michigan,Office Supplies,45-59,Low (<50),3,80.79,30.15,26.93,1
2014-04,Mississippi,Technology,18-24,Low (<50),1,47.79,16.25,47.79,1
2014-04,Montana,Office Supplies,60+,Medium (50-500),1,87.08,24.38,87.08,1
2014-04,Montana,Technology,60+,Medium (50-500),2,323.02,100.56,161.51,1
2014-04,New York,Furniture,60+,Low (<50),1,17.46,5.94,17.46,1
2014-04,New York,Office Supplies,35-44,Low (<50),1,9.91,3.35,9.91,1
2014-04,New York,Office Supplies,35-44,Medium (50-500),1,247.84,121.44,247.84,1
2014-04,New York,Office Supplies,45-59,Medium (50-500),1,55.48,26.63,55.48,1
2014-04,New York,Technology,60+,Medium (50-500),1,159.98,57.59,159.98,1
2014-04,North Carolina,Office Supplies,45-59,Low (<50),1,39.07,9.77,39.07,1
2014-04,North Carolina,Technology,45-59,Medium (50-500),1,302.38,37.8,302.38,1
2014-04,Ohio,Furniture,18-24,Medium (50-500),1,172.11,-94.66,172.11,1
2014-04,Ohio,Furniture,60+,Low (<50),1,22.34,7.82,22.34,1
2014-04,Ohio,Furniture,60+,Medium (50-500),2,562.74,-24.12,281.37,1
2014-04,Ohio,Office Supplies,45-59,Low (<50),2,34.01,4.54,17.0,1
2014-04,Ohio,Office Supplies,45-59,Medium (50-500),1,177.57,-37.73,177.57,1
2014-04,Ohio,Office Supplies,60+,Low (<50),1,7.49,-5.24,7.49,1
2014-04,Pennsylvania,Furniture,45-59,Medium (50-500),1,154.76,-36.11,154.76,1
2014-04,Pennsylvania,Office Supplies,35-44,High (500-1500),1,509.97,-407.98,509.97,1
2014-04,Pennsylvania,Office Supplies,35-44,Low (<50),2,48.85,11.19,24.42,1
2014-04,Pennsylvania,Office Supplies,45-59,Low (<50),2,55.21,-38.12,27.61,2
2014-04,Pennsylvania,Office Supplies,60+,Low (<50),1,2.5,-1.75,2.5,1
2014-04,Pennsylvania,Technology,35-44,Medium (50-500),1,71.93,8.39,71.93,1
2014-04,Pennsylvania,Technology,45-59,Medium (50-500),1,116.78,21.9,116.78,1
2014-04,South Carolina,Office Supplies,60+,Medium (50-500),1,122.97,60.26,122.97,1
2014-04,South Carolina,Technology,60+,High (500-1500),1,629.95,163.79,629.95,1
2014-04,Tennessee,Furniture,60+,High (500-1500),1,561.58,70.2,561.58,1
2014-04,Tennessee,Office Supplies,60+,Medium (50-500),1,99.92,-1.25,99.92,1
2014-04,Texas,Furniture,35-44,High (500-1500),1,744.1,-95.67,744.1,1
2014-04,Texas,Furniture,35-44,Medium (50-500),2,718.65,-150.07,359.32,2
2014-04,Texas,Office Supplies,35-44,Low (<50),4,107.74,26.43,26.93,3
2014-04,Texas,Office Supplies,35-44,Medium (50-500),1,149.35,50.41,149.35,1
2014-04,Texas,Office Supplies,60+,Low (<50),2,16.61,4.17,8.3,1
2014-04,Texas,Technology,35-44,Medium (50-500),1,227.98,28.5,227.98,1
2014-04,Texas,Technology,45-59,High (500-1500),1,758.35,265.42,758.35,1
2014-04,Virginia,Furniture,45-59,Medium (50-500),1,177.68,46.2,177.68,1
2014-04,Virginia,Office Supplies,18-24,Low (<50),3,58.88,20.59,19.63,1
2014-04,Virginia,Office Supplies,18-24,Very High (1500+),1,4164.05,83.28,4164.05,1
2014-04,Virginia,Office Supplies,25-34,Medium (50-500),2,129.33,60.92,64.66,1
2014-04,Virginia,Technology,18-24,Low (<50),1,28.99,8.41,28.99,1
2014-04,Washington,Furniture,25-34,High (500-1500),1,653.55,111.1,653.55,1
2014-04,Washington,Technology,25-34,Low (<50),1,33.9,2.03,33.9,1
2014-05,Alabama,Technology,45-59,Low (<50),1,44.95,12.59,44.95,1
2014-05,Alabama,Technology,45-59,Medium (50-500),1,135.98,33.99,135.98,1
2014-05,California,Furniture,25-34,Medium (50-500),1,290.67,27.36,290.67,1
2014-05,California,Furniture,35-44,Medium (50-500),3,769.12,70.52,256.37,3
2014-05,California,Furniture,45-59,High (500-1500),1,567.12,-28.36,567.12,1
2014-05,California,Furniture,60+,Medium (50-500),1,225.3,22.53,225.3,1
2014-05,California,Office Supplies,18-24,Low (<50),1,31.84,10.51,31.84,1
2014-05,California,Office Supplies,35-44,Low (<50),4,94.78,36.82,23.7,3
2014-05,California,Office Supplies,35-44,Medium (50-500),1,107.94,30.22,107.94,1
2014-05,California,Office Supplies,45-59,Medium (50-500),2,500.06,59.96,250.03,2
2014-05,California,Technology,25-34,Medium (50-500),2,285.57,51.65,142.78,1
2014-05,California,Technology,35-44,High (500-1500),1,1432.0,125.3,1432.0,1
2014-05,California,Technology,45-59,High (500-1500),1,1113.5,125.27,1113.5,1
2014-05,California,Technology,45-59,Medium (50-500),3,335.76,82.38,111.92,2
2014-05,California,Technology,60+,Medium (50-500),2,206.37,55.87,103.18,2
2014-05,Connecticut,Furniture,18-24,Low (<50),1,27.46,9.89,27.46,1
2014-05,Florida,Furniture,35-44,Medium (50-500),1,310.88,23.32,310.88,1
2014-05,Florida,Office Supplies,25-34,Low (<50),1,7.1,2.4,7.1,1
2014-05,Florida,Office Supplies,25-34,Medium (50-500),1,398.35,-331.96,398.35,1
2014-05,Florida,Technology,60+,Medium (50-500),1,479.98,90.0,479.98,1
2014-05,Illinois,Furniture,35-44,Medium (50-500),1,355.46,-184.84,355.46,1
2014-05,Illinois,Furniture,60+,Low (<50),1,29.32,-24.19,29.32,1
2014-05,Illinois,Furniture,60+,Medium (50-500),1,359.77,-5.14,359.77,1
2014-05,Illinois,Office Supplies,18-24,Low (<50),1,17.46,-30.56,17.46,1
2014-05,Illinois,Office Supplies,35-44,Low (<50),1,45.25,3.96,45.25,1
2014-05,Illinois,Office Supplies,60+,Low (<50),2,30.86,8.86,15.43,2
2014-05,Illinois,Office Supplies,60+,Medium (50-500),3,282.8,-331.18,94.27,3
2014-05,Illinois,Technology,18-24,High (500-1500),1,719.98,135.0,719.98,1
2014-05,Kentucky,Office Supplies,25-34,Low (<50),3,75.46,35.81,25.15,1
2014-05,Kentucky,Office Supplies,25-34,Medium (50-500),1,83.25,14.98,83.25,1
2014-05,Kentucky,Office Supplies,45-59,Low (<50),3,40.54,17.68,13.51,1
2014-05,Maryland,Office Supplies,18-24,Medium (50-500),1,116.28,56.98,116.28,1
2014-05,Massachusetts,Furniture,45-59,High (500-1500),1,872.32,244.25,872.32,1
2014-05,Massachusetts,Furniture,45-59,Medium (50-500),1,194.25,-38.85,194.25,1
2014-05,Massachusetts,Furniture,60+,High (500-1500),1,700.06,-130.01,700.06,1
2014-05,Massachusetts,Office Supplies,45-59,Low (<50),3,42.72,19.2,14.24,2
